               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.026422,            0.014867,           0.0044375,             0.48106,             0.53652,             0.50278,             0.33395,            0.046237,            0.014683,            0.017099,            0.003367,            0.003367,            0.003367
                  69,            0.026612,             0.01521,           0.0040238,             0.51412,             0.45909,             0.48995,             0.33306,            0.047028,            0.015578,            0.021605,            0.003268,            0.003268,            0.003268
                  70,            0.026103,            0.014475,           0.0041959,             0.58204,             0.49054,             0.50775,             0.33993,            0.046134,            0.014763,            0.020242,            0.003169,            0.003169,            0.003169
                  71,            0.025903,            0.014894,           0.0033222,              0.5425,              0.4992,             0.52412,             0.35973,            0.045399,            0.015127,            0.021369,             0.00307,             0.00307,             0.00307
                  72,            0.025792,            0.014294,           0.0039816,             0.60979,             0.46014,             0.51449,             0.35014,             0.04597,            0.015351,            0.019555,            0.002971,            0.002971,            0.002971
                  73,            0.025984,            0.014156,           0.0035572,               0.559,             0.53443,             0.52807,               0.347,            0.045607,             0.01485,            0.018477,            0.002872,            0.002872,            0.002872
                  74,            0.024974,            0.014359,           0.0035699,             0.62547,             0.48195,             0.49825,             0.33165,            0.047579,            0.015053,            0.023036,            0.002773,            0.002773,            0.002773
                  75,            0.025748,            0.014356,           0.0033742,             0.56011,             0.52136,             0.50985,             0.33636,            0.046251,            0.014869,            0.022545,            0.002674,            0.002674,            0.002674
                  76,            0.024757,            0.014423,           0.0032262,             0.57416,             0.49633,             0.50583,             0.35091,            0.045989,              0.0153,            0.023377,            0.002575,            0.002575,            0.002575
                  77,            0.025263,            0.014203,              0.0035,             0.51554,             0.50129,             0.50927,             0.35276,            0.046623,            0.015218,            0.020672,            0.002476,            0.002476,            0.002476
                  78,            0.025751,            0.014198,           0.0028993,             0.59982,             0.49797,             0.50703,             0.34672,            0.046123,            0.015169,            0.022353,            0.002377,            0.002377,            0.002377
                  79,            0.023786,            0.014014,           0.0035139,             0.51747,             0.53297,             0.49806,             0.34067,            0.046163,            0.015592,            0.024476,            0.002278,            0.002278,            0.002278
                  80,            0.024615,            0.014126,           0.0028412,             0.51188,             0.51875,             0.51471,             0.35515,            0.046925,            0.014718,            0.021189,            0.002179,            0.002179,            0.002179
                  81,            0.024951,             0.01398,           0.0030027,             0.52318,              0.5096,             0.50242,             0.34779,            0.046174,            0.015662,            0.024391,             0.00208,             0.00208,             0.00208
                  82,            0.022865,            0.014045,            0.002559,             0.59626,             0.51992,             0.51917,             0.36166,            0.046795,            0.015873,            0.025964,            0.001981,            0.001981,            0.001981
                  83,              0.0233,            0.013617,           0.0033172,             0.54706,             0.55547,             0.53557,             0.37026,             0.04566,            0.015431,            0.022329,            0.001882,            0.001882,            0.001882
                  84,             0.02384,            0.013845,           0.0035271,             0.59003,             0.51269,             0.52974,             0.36536,            0.046262,            0.016016,            0.023175,            0.001783,            0.001783,            0.001783
                  85,            0.023461,            0.013606,           0.0028341,             0.54421,             0.48619,             0.50367,              0.3477,            0.046322,             0.01653,            0.023616,            0.001684,            0.001684,            0.001684
                  86,            0.023433,            0.013761,           0.0029589,             0.47051,              0.5128,             0.47941,             0.32573,            0.048735,            0.016472,            0.030123,            0.001585,            0.001585,            0.001585
                  87,            0.022714,            0.013566,            0.002686,             0.59653,             0.51615,             0.52037,             0.35536,             0.04626,            0.015745,            0.019425,            0.001486,            0.001486,            0.001486
                  88,            0.023452,            0.013649,           0.0027401,             0.55146,              0.5004,             0.51656,             0.35607,            0.045138,            0.016014,            0.019925,            0.001387,            0.001387,            0.001387
                  89,            0.022671,            0.013474,           0.0024207,             0.60641,              0.4907,             0.53009,             0.35905,            0.046004,            0.015869,            0.021925,            0.001288,            0.001288,            0.001288
                  90,            0.022438,            0.013836,           0.0026143,             0.56304,             0.52674,             0.52966,             0.35831,            0.046686,            0.015909,            0.020147,            0.001189,            0.001189,            0.001189
                  91,            0.022387,            0.013556,           0.0023339,             0.57899,             0.53183,             0.52492,              0.3606,            0.047088,            0.016618,            0.018728,             0.00109,             0.00109,             0.00109
                  92,            0.022347,            0.013217,           0.0023472,             0.59319,             0.49181,              0.5082,             0.34692,            0.047563,            0.016629,            0.022626,            0.000991,            0.000991,            0.000991
                  93,            0.022038,             0.01349,           0.0023087,             0.59176,             0.52268,             0.52405,             0.35602,            0.047332,            0.016515,            0.023234,            0.000892,            0.000892,            0.000892
                  94,            0.021957,            0.013136,           0.0025918,             0.57629,             0.51656,             0.52947,             0.36496,            0.046611,            0.016582,            0.022516,            0.000793,            0.000793,            0.000793
                  95,            0.022026,            0.013282,           0.0020959,             0.58639,              0.5186,             0.52385,             0.35832,            0.046182,            0.016788,            0.022178,            0.000694,            0.000694,            0.000694
                  96,            0.021672,            0.013279,           0.0023571,             0.58563,             0.51807,             0.52963,             0.35963,            0.045989,            0.016679,            0.022889,            0.000595,            0.000595,            0.000595
                  97,            0.022101,            0.013124,           0.0025215,              0.6236,             0.50567,             0.53396,             0.36101,            0.045865,            0.016764,            0.023111,            0.000496,            0.000496,            0.000496
                  98,            0.021679,            0.013427,           0.0021117,             0.57693,              0.5186,             0.53784,             0.36727,             0.04632,            0.016603,            0.022788,            0.000397,            0.000397,            0.000397
                  99,            0.021151,            0.013112,           0.0021011,             0.61633,             0.50731,             0.54284,             0.36929,            0.046403,            0.016742,            0.022108,            0.000298,            0.000298,            0.000298
